연도,직종,회차,성별,연령대,응시지역,졸업여부,합격여부
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,여,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,여,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,여,30,서울특별시,졸업,합격
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,여,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,40,서울특별시,졸업,합격
2000,치과의사,52,남,40,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,여,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,남,40,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,남,20,서울특별시,졸업,합격
2000,치과의사,52,남,30,서울특별시,졸업,합격
2000,치과의사,52,여,30,서울특별시,졸업,합격
2000,한의사,55,남,30,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,여,30,서울특별시,졸업,합격
2000,한의사,55,남,30,서울특별시,졸업,합격
2000,한의사,55,남,30,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
2000,한의사,55,여,20,서울특별시,졸업,합격
2000,한의사,55,여,20,서울특별시,졸업,합격
2000,한의사,55,남,30,서울특별시,졸업,합격
2000,한의사,55,남,20,서울특별시,졸업,합격
